idx,나이,클릭 장소 목록,클릭 포스트 목록,클릭 영상 목록,상품목록1(결제화면),상품목록2(결제),상품목록3(장바구니),좋아요(상품),좋아요(스팟),북마크(상품),북마크(스팟),결제상품 목록,관심 아이템,관심 아웃도어
165,35,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
166,35,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
167,32,,,,,,,,,,,,,
168,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
169,41,,,,,,,,,,,,,
171,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
172,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
173,66,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
174,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
175,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
176,25,,,,,,,,,,,,,
177,55,,,,,,,,,,,,,
178,36,,,,,,,,,,,,,
179,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
180,59,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
181,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
182,37,,,,,,,,,,,,,
183,35,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
184,38,,,,,,,,,,,,,
185,41,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
186,41,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
187,41,,,,,,,,,,,,,
188,32,,,,,,,,,,,,,
189,41,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
190,45,,,,,,,,,,,,,
191,64,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
192,38,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
193,64,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
194,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
195,38,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
196,34,,,,,,,,,,,,,
197,26,,,,,,,,,,,,,
198,45,,,,,,,,,,,,,
199,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
200,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
201,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,
214,35,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
215,913,,,,,,,,,,,,,
216,46,,,,,,,,,,,,,"[0,0,1,0,0,0,0,0,0,0]"
217,31,,,,,,,,,,,,,
218,32,,,,,,,,,,,,,
219,24,,,,,,,,,,,,,
220,33,,,,,,,,,,,,,
221,34,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
222,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
223,34,,,,,,,,,,,,,
224,32,,,,,,,,,,,,,
225,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
226,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
227,29,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
228,47,,,,,,,,,,,,,
229,29,,,,,,,,,,,,,
230,30,,,,,,,,,,,,,
232,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
233,69,,,,,,,,,,,,,
234,63,,,,,,,,,,,,,
235,30,,,,,,,,,,,,,
236,29,,,,,,,,,,,,,
237,56,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
238,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
239,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
240,,,,,,,,,,,,,,
241,35,,,,,,,,,,,,,
242,36,,,,,,,,,,,,,
243,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
244,32,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
245,37,,,,,,,,,,,,,
246,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
247,41,,,,,,,,,,,,,
248,43,,,,,,,,,,,,,
249,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
250,37,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
251,41,,,,,,,,,,,,,
252,31,,,,,,,,,,,,,
253,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
254,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
256,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
257,45,,,,,,,,,,,,,
258,71,,,,,,,,,,,,,
259,48,,,,,,,,,,,,,
260,21,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
261,51,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
262,63,,,,,,,,,,,,,
263,51,,,,,,,,,,,,,
264,65,,,,,,,,,,,,,
265,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
268,,,,,,,,,,,,,,
269,39,,,,,,,,,,,,,
270,61,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
271,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
272,29,,,,,,,,,,,,,
273,44,,,,,,,,,,,,,
274,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
275,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
276,32,,,,,,,,,,,,"[1,0,0]",
277,33,,,,,,,,,,,,,
278,49,,,,,,,,,,,,,
279,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
281,72,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
282,31,,,,,,,,,,,,,
283,39,,,,,,,,,,,,,
284,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
307,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
308,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
309,43,,,,,,,,,,,,,
310,36,,,,,,,,,,,,,
311,57,,,,,,,,,,,,,
312,35,,,,,,,,,,,,,
313,39,,,,,,,,,,,,,
314,40,,,,,,,,,,,,,
315,32,,,,,,,,,,,,,
316,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
317,42,,,,,,,,,,,,,
318,45,,,,,,,,,,,,,
319,27,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
320,32,,,,,,,,,,,,,
321,30,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
322,43,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
323,25,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
324,36,,,,,,,,,,,,,
325,39,,,,,,,,,,,,,
326,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
327,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
328,43,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
329,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
330,32,,,,,,,,,,,,,
331,41,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
332,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
333,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
334,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
335,25,,,,,,,,,,,,,
336,37,,,,,,,,,,,,,
337,35,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
338,50,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
339,37,,,,,,,,,,,,,
340,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
341,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
342,34,,,,,,,,,,,,,
343,45,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
344,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
345,45,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
346,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
348,38,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
349,42,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
350,26,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
351,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
353,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
354,39,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
355,25,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
356,28,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
357,45,,,,,,,,,,,,,
358,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
359,31,,,,,,,,,,,,,
360,34,,,,,,,,,,,,,
361,41,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
362,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
364,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
365,35,,,,,,,,,,,,,
366,33,,,,,,,,,,,,,
367,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
368,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
369,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
370,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
371,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
372,26,,,,,,,,,,,,,
374,34,,,,,,,,,,,,,
375,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
376,32,,,,,,,,,,,,,
386,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
387,28,,,,,,,,,,,,,
388,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
389,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
390,34,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
391,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
392,39,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
393,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
394,47,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
395,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
408,39,,,,,,,,,,,,"[1,0,0]","[0,0,0,0,1,0,0,0,0,0]"
409,40,,,,,,,,,,,,,
410,27,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
411,27,,,,,,,,,,,,,
412,34,,,,,,,,,,,,,
413,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
414,34,,,,,,,,,,,,,
415,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
416,76,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
417,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
418,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
419,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
420,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
421,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
422,49,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
423,26,,,,,,,,,,,,,
424,76,,,,,,,,,,,,,
425,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
426,,,,,,,,,,,,,"[0,0,1]","[1,0,0,0,0,0,0,0,0,0]"
427,35,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
428,45,,,,,,,,,,,,,
429,26,,,,,,,,,,,,,
430,34,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
431,42,,,,,,,,,,,,,
432,58,,,,,,,,,,,,,
433,36,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
434,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
435,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
436,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
437,36,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
438,35,,,,,,,,,,,,,
439,25,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
440,33,,,,,,,,,,,,,
441,31,,,,,,,,,,,,,
442,31,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
443,26,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
444,35,,,,,,,,,,,,,
445,,,,,,,,,,,,,,
446,61,,,,,,,,,,,,,
447,43,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
448,39,,,,,,,,,,,,,
449,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
450,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
451,23,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
452,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
453,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
454,27,,,,,,,,,,,,,
455,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
456,24,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
457,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
458,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
459,22,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
460,47,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
461,38,,,,,,,,,,,,,
462,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
463,45,,,,,,,,,,,,,
464,46,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
465,31,,,,,,,,,,,,,
466,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
467,45,,,,,,,,,,,,,
468,38,,,,,,,,,,,,,
469,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
470,36,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
471,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
472,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
473,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
474,28,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
475,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
476,49,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,1,0]"
477,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
478,26,,,,,,,,,,,,,
479,23,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
480,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
481,40,,,,,,,,,,,,,
482,36,,,,,,,,,,,,,
483,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
484,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
485,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
486,32,,,,,,,,,,,,,
487,27,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
488,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
490,35,,,,,,,,,,,,,
491,45,,,,,,,,,,,,,
492,28,,,,,,,,,,,,,"[0,0,0,0,0,1,0,0,0,0]"
493,39,,,,,,,,,,,,,
494,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
495,47,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
496,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
497,30,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
498,,,,,,,,,,,,,,
499,48,,,,,,,,,,,,,
500,38,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
501,41,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
502,38,,,,,,,,,,,,,
503,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
504,28,,,,,,,,,,,,,
505,62,,,,,,,,,,,,,
506,-5960,,,,,,,,,,,,,
507,,,,,,,,,,,,,,
508,33,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
509,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
510,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
511,44,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
512,40,,,,,,,,,,,,,"[0,0,0,0,0,0,1,0,0,0]"
513,41,,,,,,,,,,,,,
514,62,,,,,,,,,,,,,
515,34,,,,,,,,,,,,,
516,56,,,,,,,,,,,,,
517,49,,,,,,,,,,,,,
518,,,,,,,,,,,,,,
519,33,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
520,62,,,,,,,,,,,,,
521,54,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
522,53,,,,,,,,,,,,,
523,58,,,,,,,,,,,,,
524,38,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
525,38,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
526,34,,,,,,,,,,,,,
527,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
528,35,,,,,,,,,,,,,
529,26,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
530,31,,,,,,,,,,,,,
531,39,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
532,42,,,,,,,,,,,,,
533,43,,,,,,,,,,,,,
534,23,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
535,30,,,,,,,,,,,,,
536,24,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
537,51,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
538,38,,,,,,,,,,,,,
539,34,,,,,,,,,,,,,
540,37,,,,,,,,,,,,,"[0,0,0,1,0,0,0,0,0,0]"
541,32,,,,,,,,,,,,,
542,26,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
543,32,,,,,,,,,,,,,
544,35,,,,,,,,,,,,,
545,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
546,,,,,,,,,,,,,,
547,39,,,,,,,,,,,,,
548,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
549,28,,,,,,,,,,,,,
550,52,,,,,,,,,,,,,
551,27,,,,,,,,,,,,,
552,50,,,,,,,,,,,,,
553,45,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
554,30,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
555,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
556,53,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
557,25,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
